variant.id;id;sku;title;price;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46355367330087;gid://shopify/ProductVariant/46355367330087;BR05261T;Default Title;9900.0;gid://shopify/Product/8577719894311;Brinco Lifestyle De Ouro Branco 18K E Diamante;5;1;2;BR05261T
gid://shopify/ProductVariant/46355367624999;gid://shopify/ProductVariant/46355367624999;BR05264T;P;22200.0;gid://shopify/Product/8577719992615;Brinco Lifestyle De Ouro Branco 18K E Diamante - P;0;1;2;BR05264T
gid://shopify/ProductVariant/46355368182055;gid://shopify/ProductVariant/46355368182055;BR05267T;G;31000.0;gid://shopify/Product/8577720156455;Brinco Lifestyle De Ouro Branco 18K E Diamante - G;0;1;2;BR05267T
gid://shopify/ProductVariant/46355369165095;gid://shopify/ProductVariant/46355369165095;BR05282T;Default Title;3200.0;gid://shopify/Product/8577720746279;Piercing Lifestyle De Ouro Branco 18K E Diamante;0;1;2;BR05282T
gid://shopify/ProductVariant/46355371950375;gid://shopify/ProductVariant/46355371950375;BR04381T;Default Title;1950.0;gid://shopify/Product/8577722679591;Brinco Orquidea De Prata Com Ródio Negro E Diamante;5;1;2;BR04381T
gid://shopify/ProductVariant/46355372081447;gid://shopify/ProductVariant/46355372081447;BR04384T;Default Title;3800.0;gid://shopify/Product/8577722777895;Brinco Orquidea De Prata Com Ródio Negro E Diamante;5;1;2;BR04384T
gid://shopify/ProductVariant/46355372966183;gid://shopify/ProductVariant/46355372966183;CL01318;Default Title;6900.0;gid://shopify/Product/8577723007271;Colar Orquidea De Prata Com Ouro Rosa E Diamante;5;1;2;CL01318
gid://shopify/ProductVariant/46355373031719;gid://shopify/ProductVariant/46355373031719;PU01661T;M;4850.0;gid://shopify/Product/8577723072807;Pulseira Orquidea De Prata Com Ouro Rosa E Diamante;5;3;2;PU01661T
gid://shopify/ProductVariant/46355374276903;gid://shopify/ProductVariant/46355374276903;PU01655T;M;4400.0;gid://shopify/Product/8577723334951;Pulseira Orquidea De Prata Com Ródio Negro E Diamante;5;2;2;PU01655T
gid://shopify/ProductVariant/46355394625831;gid://shopify/ProductVariant/46355394625831;CL04199;Default Title;6300.0;gid://shopify/Product/8577729855783;Colar Piscine De Ouro Branco 18K Com Ródio Negro E Diamante;0;1;2;CL04199
gid://shopify/ProductVariant/46355394920743;gid://shopify/ProductVariant/46355394920743;PU01808T;Default Title;1700.0;gid://shopify/Product/8577730150695;Pulseira Piscine De Ouro Amarelo 18K;5;1;3;PU01808T
gid://shopify/ProductVariant/46355414450471;gid://shopify/ProductVariant/46355414450471;BR03453T;Default Title;3800.0;gid://shopify/Product/8577738015015;Brinco Tlj De Ouro Amarelo 18K E Diamante;5;1;1;BR03453T
gid://shopify/ProductVariant/46355414614311;gid://shopify/ProductVariant/46355414614311;BR02140T;Default Title;3800.0;gid://shopify/Product/8577738178855;Brinco Tlj De Ouro Branco 18K E Diamante;5;1;2;BR02140T
gid://shopify/ProductVariant/46355414712615;gid://shopify/ProductVariant/46355414712615;BR01992T;Default Title;3800.0;gid://shopify/Product/8577738277159;Brinco Tlj De Ouro Rosa 18K E Diamante;5;1;1;BR01992T
gid://shopify/ProductVariant/46355414941991;gid://shopify/ProductVariant/46355414941991;CL01040;Default Title;4200.0;gid://shopify/Product/8577738506535;Colar Tlj De Ouro Amarelo 18K E Diamante;5;1;3;CL01040
gid://shopify/ProductVariant/46355448955175;gid://shopify/ProductVariant/46355448955175;BR06452T;P;8200.0;gid://shopify/Product/8577750237479;Piercing Savage De Ouro Branco 18K E Diamante - P;5;1;1;BR06452T
gid://shopify/ProductVariant/46355449151783;gid://shopify/ProductVariant/46355449151783;BR06454T;M;10800.0;gid://shopify/Product/8577750368551;Piercing Savage De Ouro Branco 18K E Diamante - M;5;1;1;BR06454T
gid://shopify/ProductVariant/46355451805991;gid://shopify/ProductVariant/46355451805991;BR04915T;Default Title;17000.0;gid://shopify/Product/8577751384359;Brinco Ear Cuff Voyeur De Ouro Branco 18K Com Ródio Negro E Diamante Negro;5;1;3;BR04915T
gid://shopify/ProductVariant/46355451937063;gid://shopify/ProductVariant/46355451937063;BR04917T;Default Title;76000.0;gid://shopify/Product/8577751515431;Brinco Voyeur De Ouro Branco 18K Com Ródio Negro E Diamante;5;1;2;BR04917T
gid://shopify/ProductVariant/46355452002599;gid://shopify/ProductVariant/46355452002599;BR04918T;Default Title;37000.0;gid://shopify/Product/8577751580967;Brinco Voyeur De Ouro Branco 18K Com Ródio Negro E Diamante Negro;5;1;2;BR04918T
gid://shopify/ProductVariant/46355452166439;gid://shopify/ProductVariant/46355452166439;BR04924T;Default Title;28000.0;gid://shopify/Product/8577751744807;Brinco Voyeur De Ouro Branco 18K Com Ródio Negro E Diamante E Safira;5;1;3;BR04924T
