Cod_Cliente;Message_Error
CMAT002850;Email has already been taken
CBEL018575;Email has already been taken
CFTH002000;Email has already been taken
CWEB000073;Email has already been taken
CIGU014510;Email has already been taken
CFTH012150;Email has already been taken
CFFL000908;Email has already been taken
CIGU015034;Email has already been taken
CIGU011663;Email has already been taken
CIGU011678;Email has already been taken
CFTH011953;Email has already been taken
CIGU003128;Email has already been taken
CWEB000362;Email has already been taken
CIGU015582;Email has already been taken
CIGU011667;Email has already been taken
CWEB000532;Email has already been taken
CIGU011292;Email has already been taken
CBEL018583;Email has already been taken
CIGU015793;Email has already been taken
CBEL018576;Email has already been taken
CIGU003036;Email has already been taken
CIGU002085;Email has already been taken
CWEB000303;Email has already been taken
CFSM000360;Email has already been taken
CBEL018940;Email has already been taken
CMAT013889;Email has already been taken
CIGU010041;Email has already been taken
CBEL005318;Email has already been taken
CIGU015447;Email has already been taken
CCUR000307;Email has already been taken
CIGU011237;Email has already been taken
CBEL005003;Email has already been taken
CMAG000181;Email has already been taken
CIGU011662;Email has already been taken
CWEB000459;Email has already been taken
CFSM000148;Email has already been taken
CFTH001679;Email has already been taken
CIGU002088;Email has already been taken
CFTH002430;Email has already been taken
CFTH000648;Email has already been taken
CWEB001153;Email has already been taken
CWEB001039;Email has already been taken
CWEB000908;Email has already been taken
CFTH011232;Email has already been taken
CWEB001163;Email has already been taken
CFTH012212;Email has already been taken
CFTH000769;Email has already been taken
CFTH012397;Email has already been taken
CFTH002617;Email has already been taken
CIGU004099;Email has already been taken
CFTH011385;Email has already been taken
CBEL018577;Email has already been taken
CFFL000199;Email has already been taken
CFTH001142;Email has already been taken
CFTH011563;Email has already been taken
CFTH001629;Email has already been taken
CFTH006017;Email has already been taken
CIGU010223;Email has already been taken
CFTH000158;Email has already been taken
CFTH007235;Email has already been taken
CBEL018578;Email has already been taken
CFTH000124;Email has already been taken
CIGU010084;Email has already been taken
CFTH000033;Email has already been taken
CWEB000420;Email has already been taken
CWEB000889;Email has already been taken
CWEB001460;Email has already been taken
CFSM010748;Email has already been taken
CFTH001324;Email has already been taken
CFTH000147;Email has already been taken
CIGL000238;Email has already been taken
CFTH005893;Email has already been taken
CIGU013192;Email has already been taken
CWEB000968;Email has already been taken
CBEL005322;Email has already been taken
CWEB001123;Email has already been taken
CFTH001274;Email has already been taken
CFTH001111;Email has already been taken
CFTH000969;Email has already been taken
CWEB001024;Email has already been taken
CFTH001579;Email has already been taken
CWEB000623;Email has already been taken
CWEB001358;Email has already been taken
CFTH011710;Email has already been taken
