variant.id;id;sku;title;price;comparePrice;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2;SKU;Porcentagem;Encomenda
gid://shopify/ProductVariant/46393518358823;gid://shopify/ProductVariant/46393518358823;AN02300-12;12;700.0;1400.0;gid://shopify/Product/8582666191143;Anel Tropical De Prata Com Ródio Negro;1.0;13.0;2.0;AN02300;AN02300;50.0;Nao
gid://shopify/ProductVariant/46393521766695;gid://shopify/ProductVariant/46393521766695;AN03573-17;17;71200.0;89000.0;gid://shopify/Product/8582666977575;Anel Vita Eterna De Ouro Amarelo E Branco 18K E Diamante E Esmeralda;1.0;13.0;2.0;AN03573;AN03573;20.0;Nao
gid://shopify/ProductVariant/46393547718951;gid://shopify/ProductVariant/46393547718951;AN03430-16;16;16400.0;20500.0;gid://shopify/Product/8582669140263;Anel Rock Star De Ouro Branco 18K E Kunzita E Diamante;1.0;13.0;0.0;AN03430;AN03430;20.0;Nao
gid://shopify/ProductVariant/46393549521191;gid://shopify/ProductVariant/46393549521191;AN03472-18;18;14000.0;17500.0;gid://shopify/Product/8582669304103;Anel Rock Star De Ouro Branco 18K E Topázio E Diamante;1.0;13.0;0.0;AN03472;AN03472;20.0;Nao
gid://shopify/ProductVariant/46393552109863;gid://shopify/ProductVariant/46393552109863;AN03515-17;17;16000.0;20000.0;gid://shopify/Product/8582669762855;Anel Rock Star De Ouro Branco 18K E Topázio E Diamante;1.0;13.0;0.0;AN03515;AN03515;20.0;Nao
gid://shopify/ProductVariant/46497109508391;gid://shopify/ProductVariant/46497109508391;BR02031T;Default Title;143200.0;179000.0;gid://shopify/Product/8608939376935;Brinco Eterna Rock De Ouro Branco 18K Com Rodio Negro E Diamante E Esmeralda;1.0;1.0;0.0;BR02031T;BR02031T;20.0;Nao
gid://shopify/ProductVariant/46497109639463;gid://shopify/ProductVariant/46497109639463;BR06231T;Default Title;328000.0;410000.0;gid://shopify/Product/8608939508007;Brinco Eterna Rock De Ouro Branco 18K Com Rodio Negro E Diamante E Rubi;1.0;1.0;0.0;BR06231T;BR06231T;20.0;Nao
gid://shopify/ProductVariant/46497109770535;gid://shopify/ProductVariant/46497109770535;BR06254T;Default Title;79200.0;99000.0;gid://shopify/Product/8608939639079;Brinco Eterna Rock De Ouro Branco 18K Com Rodio Negro E Diamante E Esmeralda;1.0;1.0;0.0;BR06254T;BR06254T;20.0;Nao
gid://shopify/ProductVariant/46497109901607;gid://shopify/ProductVariant/46497109901607;BR06264T;Default Title;32800.0;41000.0;gid://shopify/Product/8608939737383;Brinco Eterna Rock De Ouro Branco 18K Com Rodio Negro E Diamante E Esmeralda;1.0;1.0;0.0;BR06264T;BR06264T;20.0;Nao
gid://shopify/ProductVariant/46497110032679;gid://shopify/ProductVariant/46497110032679;BR06370T;Default Title;138400.0;173000.0;gid://shopify/Product/8608939868455;Brinco Eterna Rock De Ouro Branco 18K Com Rodio Negro E Diamante E Esmeralda;1.0;1.0;0.0;BR06370T;BR06370T;20.0;Nao
gid://shopify/ProductVariant/46497110294823;gid://shopify/ProductVariant/46497110294823;BR06520T;Default Title;88000.0;110000.0;gid://shopify/Product/8608940097831;Brinco Vita Eterna De Ouro Amarelo E Branco 18K E Diamante E Esmeralda;1.0;1.0;0.0;BR06520T;BR06520T;20.0;Nao
gid://shopify/ProductVariant/46497110556967;gid://shopify/ProductVariant/46497110556967;BR06521T;Default Title;56800.0;71000.0;gid://shopify/Product/8608940294439;Brinco Vita Eterna De Ouro Branco 18K E Topázio E Diamante;1.0;1.0;0.0;BR06521T;BR06521T;20.0;Nao
gid://shopify/ProductVariant/46497110688039;gid://shopify/ProductVariant/46497110688039;BR06523T;Default Title;111200.0;139000.0;gid://shopify/Product/8608940458279;Brinco Vita Eterna De Ouro Branco 18K E Diamante E Safira;1.0;1.0;1.0;BR06523T;BR06523T;20.0;Nao
gid://shopify/ProductVariant/46497110950183;gid://shopify/ProductVariant/46497110950183;BR06528T;Default Title;104000.0;130000.0;gid://shopify/Product/8608940622119;Brinco Vita Eterna De Ouro Amarelo E Branco 18K E Diamante E Esmeralda;1.0;1.0;0.0;BR06528T;BR06528T;20.0;Nao
