id;title;key;value;__parentId
gid://shopify/Metafield/30873769476391;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos;
Para peças em prata o primeiro banho é cortesia;
Para peças ocas, evite atritos ou batidas.";gid://shopify/Product/8573469917479
gid://shopify/Product/8573470408999;Brinco Blossom De Prata Com Ródio Negro E Safira - P;;;
gid://shopify/Metafield/30873771999527;;genero;"[""Feminino""]";gid://shopify/Product/8573470408999
gid://shopify/Metafield/30873772032295;;metal;Prata;gid://shopify/Product/8573470408999
gid://shopify/Metafield/30873772065063;;cobertura;Ródio Negro;gid://shopify/Product/8573470408999
gid://shopify/Metafield/30873772097831;;pedra;"[""Safira""]";gid://shopify/Product/8573470408999
gid://shopify/Metafield/30873772130599;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos;
Para peças em prata o primeiro banho é cortesia;
Para peças ocas, evite atritos ou batidas.";gid://shopify/Product/8573470408999
gid://shopify/Product/8573470703911;Brinco Blossom De Prata Com Ródio Negro E Safira;;;
gid://shopify/Metafield/30873774424359;;genero;"[""Feminino""]";gid://shopify/Product/8573470703911
gid://shopify/Metafield/30873774457127;;metal;Prata;gid://shopify/Product/8573470703911
gid://shopify/Metafield/30873774489895;;cobertura;Ródio Negro;gid://shopify/Product/8573470703911
