Cod_Produto;Id_Product;Title_Product;image_url;Sku;Id_Variant;Title_Variant;Price
BR05650T;gid://shopify/Product/8573585883431;Brinco Ear Cuff Deco 2019 De Ouro Branco 18K E Diamante;BR05650T;gid://shopify/ProductVariant/46336185958695;Default Title;19900.0
CL04288;gid://shopify/Product/8573586145575;Colar Deco 2019 De Ouro Amarelo 18K E Diamante;CL04288;gid://shopify/ProductVariant/46336188449063;Default Title;36300.0
CL04279;gid://shopify/Product/8573586374951;Colar Deco 2019 De Ouro Branco 18K E Diamante;CL04279;gid://shopify/ProductVariant/46336190873895;Default Title;46000.0
BR02400T;gid://shopify/Product/8573591617831;Brinco Clássico De Ouro Amarelo 18K E Diamante;BR02400T;gid://shopify/ProductVariant/46336245661991;Default Title;5200.0
BR02108T;gid://shopify/Product/8573591716135;Brinco Clássico De Ouro Branco 18K E Diamante;BR02108T;gid://shopify/ProductVariant/46336245727527;Default Title;5200.0
BR02120T;gid://shopify/Product/8573591781671;Brinco Clássico De Ouro Rosa 18K E Diamante;BR02120T;gid://shopify/ProductVariant/46336246710567;Default Title;5200.0
BR02148T;gid://shopify/Product/8573591978279;Brinco Clássico De Ouro Rosa 18K E Diamante;BR02148T;gid://shopify/ProductVariant/46336249626919;Default Title;2200.0
CL01000;gid://shopify/Product/8573592142119;Colar Clássico De Ouro 18K Com Ródio Negro E Diamante Negro;CL01000;gid://shopify/ProductVariant/46336250675495;Default Title;3400.0
CL01042;gid://shopify/Product/8573592273191;Colar Clássico De Ouro 18K Com Ródio Negro E Diamante Negro;CL01042;gid://shopify/ProductVariant/46336251560231;Default Title;4100.0
CL01100;gid://shopify/Product/8573592371495;Colar Clássico De Ouro 18K Com Ródio Negro E Diamante;CL01100;gid://shopify/ProductVariant/46336252641575;Default Title;6100.0
CL00999;gid://shopify/Product/8573592568103;Colar Clássico De Ouro Branco 18K E Diamante Negro;CL00999;gid://shopify/ProductVariant/46336253985063;Default Title;3400.0
CL00016;gid://shopify/Product/8573592699175;Corrente Clássico De Ouro Amarelo 18K;CL00016;gid://shopify/ProductVariant/46336255263015;Default Title;1800.0
CO01314;gid://shopify/Product/8573592895783;Corrente Clássico De Ouro Amarelo 18K;CO01314;gid://shopify/ProductVariant/46336256606503;Default Title;2300.0
CO01318;gid://shopify/Product/8573593059623;Corrente Clássico De Ouro Amarelo 18K;CO01318;gid://shopify/ProductVariant/46336258277671;Default Title;3700.0
CO01312;gid://shopify/Product/8573593190695;Corrente Clássico De Ouro 18K Com Ródio Negro;CO01312;gid://shopify/ProductVariant/46336259391783;Default Title;2300.0
