id;sku;title;price;key;namespace;type;value;__parentId;product_id;title;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46336269123879;PU01936T;Default Title;1700.0;;;;;;gid://shopify/Product/8573594665255;Pulseira Clássico De Ouro Amarelo 18K E Safira;0.0;1.0;2.0;PU01936T
gid://shopify/ProductVariant/46336269353255;PU01278T;Default Title;2300.0;;;;;;gid://shopify/Product/8573594763559;Pulseira Clássico De Ouro Branco 18K Com Ródio Negro E Diamante Negro;8.0;1.0;3.0;PU01278T
gid://shopify/ProductVariant/46336269386023;PU01293T;Default Title;21800.0;;;;;;gid://shopify/Product/8573594796327;Pulseira Clássico De Ouro Branco 18K Com Ródio Negro E Rubi;5.0;1.0;2.0;PU01293T
gid://shopify/ProductVariant/46336269943079;PU01314T;Default Title;2200.0;;;;;;gid://shopify/Product/8573594861863;Pulseira Clássico De Ouro Branco 18K Com Ródio Negro E Safira;7.0;1.0;3.0;PU01314T
gid://shopify/ProductVariant/46336270631207;PU01081T;Default Title;2200.0;;;;;;gid://shopify/Product/8573595091239;Pulseira Clássico De Ouro Branco 18K E Safira;12.0;1.0;3.0;PU01081T
gid://shopify/ProductVariant/46336272269607;PU01422T;Default Title;1500.0;;;;;;gid://shopify/Product/8573595222311;Pulseira Clássico De Ouro Branco 18K E Safira;6.0;1.0;2.0;PU01422T
gid://shopify/ProductVariant/46336274202919;PU01074T;Default Title;2200.0;;;;;;gid://shopify/Product/8573595418919;Pulseira Clássico De Ouro Rosa 18K E Safira;7.0;1.0;3.0;PU01074T
gid://shopify/ProductVariant/46336276201767;PU01552T;Default Title;1500.0;;;;;;gid://shopify/Product/8573595549991;Pulseira Clássico De Ouro Rosa 18K E Safira;5.0;1.0;2.0;PU01552T
gid://shopify/ProductVariant/46336295665959;BR04856T;Default Title;1100.0;;;;;;gid://shopify/Product/8573597548839;Brinco Especial | Ouro Amarelo 18K E Esmeralda;5.0;1.0;2.0;BR04856T
gid://shopify/ProductVariant/46336296485159;BR04857T;Default Title;1600.0;;;;;;gid://shopify/Product/8573597647143;Brinco Especial De Ouro Amarelo 18K E Esmeralda;7.0;1.0;2.0;BR04857T
gid://shopify/ProductVariant/46336297926951;BR05616T;Default Title;1100.0;;;;;;gid://shopify/Product/8573597810983;Brinco Especial De Ouro Branco 18K Com Ródio Negro E Esmeralda;5.0;1.0;2.0;BR05616T
gid://shopify/ProductVariant/46336299598119;BR05879T;Default Title;23900.0;;;;;;gid://shopify/Product/8573598007591;Brinco Especial De Ouro Branco 18K Com Ródio Negro E Safira;1.0;1.0;1.0;BR05879T
gid://shopify/ProductVariant/46336301924647;BR06472T;Default Title;8500.0;;;;;;gid://shopify/Product/8573598236967;Brinco Especial De Ouro Branco 18K Com Ródio Negro E Esmeralda;0.0;1.0;1.0;BR06472T
gid://shopify/ProductVariant/46336303038759;BR06513T;Default Title;18900.0;;;;;;gid://shopify/Product/8573598368039;Brinco Especial De Ouro Branco 18K Com Ródio Negro E Esmeralda;0.0;1.0;1.0;BR06513T
gid://shopify/ProductVariant/46336304644391;BR04220T;Default Title;2200.0;;;;;;gid://shopify/Product/8573598564647;Brinco Especial De Ouro Branco 18K E Diamante Negro;6.0;1.0;1.0;BR04220T
gid://shopify/ProductVariant/46336306708775;BR04221T;Default Title;5200.0;;;;;;gid://shopify/Product/8573598794023;Brinco Especial De Ouro Branco 18K E Diamante Negro;5.0;1.0;1.0;BR04221T
gid://shopify/ProductVariant/46336308347175;BR04223T;Default Title;12400.0;;;;;;gid://shopify/Product/8573598957863;Brinco Especial De Ouro Branco 18K E Diamante Negro;5.0;1.0;0.0;BR04223T
gid://shopify/ProductVariant/46336311230759;BR06298T;Default Title;3700.0;;;;;;gid://shopify/Product/8573599351079;Brinco Especial De Ouro Branco 18K E Diamante Negro;4.0;1.0;0.0;BR06298T
gid://shopify/ProductVariant/46336312607015;PU02059T;Default Title;140000.0;;;;;;gid://shopify/Product/8573599711527;Pulseira Especial De Ouro Branco 18K E Diamante;0.0;1.0;1.0;PU02059T
gid://shopify/ProductVariant/46336405405991;BR05881T;Default Title;4700.0;;;;;;gid://shopify/Product/8573608624423;Brinco Especial De Ouro Amarelo 18K E Diamante Fancy;1.0;1.0;2.0;BR05881T
gid://shopify/ProductVariant/46336405995815;BR03449T;Default Title;2000.0;;;;;;gid://shopify/Product/8573608722727;Brinco Especial De Ouro Branco 18K E Diamante Solitário;5.0;1.0;3.0;BR03449T
gid://shopify/ProductVariant/46336406126887;BR05301T;Default Title;1400.0;;;;;;gid://shopify/Product/8573608788263;Brinco Especial De Ouro Branco 18K E Diamante Solitário;5.0;1.0;3.0;BR05301T
gid://shopify/ProductVariant/46336406159655;BR06039T;Default Title;5900.0;;;;;;gid://shopify/Product/8573608821031;Brinco Especial De Ouro Branco 18K E Diamante Solitário;5.0;1.0;3.0;BR06039T
gid://shopify/ProductVariant/46336406225191;BR06040T;Default Title;5300.0;;;;;;gid://shopify/Product/8573608853799;Brinco Especial De Ouro Branco 18K E Diamante Solitário;7.0;1.0;3.0;BR06040T
gid://shopify/ProductVariant/46336406257959;BR06041T;Default Title;10500.0;;;;;;gid://shopify/Product/8573608886567;Brinco Especial De Ouro Branco 18K E Diamante Solitário;5.0;1.0;3.0;BR06041T
gid://shopify/ProductVariant/46336406847783;BR06042T;Default Title;16800.0;;;;;;gid://shopify/Product/8573609017639;Brinco Especial De Ouro Branco 18K E Diamante Solitário;5.0;1.0;3.0;BR06042T
gid://shopify/ProductVariant/46336408060199;BR06111T;Default Title;1400.0;;;;;;gid://shopify/Product/8573609214247;Brinco Especial De Ouro Rosa 18K E Diamante Solitário;5.0;1.0;0.0;BR06111T
gid://shopify/ProductVariant/46336408682791;CL04318;Default Title;69000.0;;;;;;gid://shopify/Product/8573609345319;Colar Especial De Ouro Branco 18K E Diamante Solitário;0.0;1.0;1.0;CL04318
