id;sku;__parentId;product_id;product_title;totalVariants;inventoryItem_id;variant.id;variant.sku;variant.title;location_id;location_name;Qty;sku_2
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386530050343;BR06379T;gid://shopify/ProductVariant/46335074533671;gid://shopify/Product/8573492003111;Brinco Celebrate De Ouro Amarelo 18K E Diamante;1;gid://shopify/InventoryItem/48386530050343;gid://shopify/ProductVariant/46335074533671;BR06379T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR06379T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386533523751;BR06380T;gid://shopify/ProductVariant/46335077777703;gid://shopify/Product/8573492298023;Brinco Celebrate De Ouro Amarelo 18K E Diamante;1;gid://shopify/InventoryItem/48386533523751;gid://shopify/ProductVariant/46335077777703;BR06380T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR06380T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386533523751;BR06380T;gid://shopify/ProductVariant/46335077777703;gid://shopify/Product/8573492298023;Brinco Celebrate De Ouro Amarelo 18K E Diamante;1;gid://shopify/InventoryItem/48386533523751;gid://shopify/ProductVariant/46335077777703;BR06380T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR06380T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386536833319;BR06381T;gid://shopify/ProductVariant/46335081349415;gid://shopify/Product/8573492592935;Brinco Celebrate De Ouro Amarelo 18K E Diamante;1;gid://shopify/InventoryItem/48386536833319;gid://shopify/ProductVariant/46335081349415;BR06381T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR06381T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386536833319;BR06381T;gid://shopify/ProductVariant/46335081349415;gid://shopify/Product/8573492592935;Brinco Celebrate De Ouro Amarelo 18K E Diamante;1;gid://shopify/InventoryItem/48386536833319;gid://shopify/ProductVariant/46335081349415;BR06381T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR06381T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386541748519;BR06387T;gid://shopify/ProductVariant/46335086264615;gid://shopify/Product/8573492986151;Brinco Celebrate De Ouro Amarelo 18K E Diamante;1;gid://shopify/InventoryItem/48386541748519;gid://shopify/ProductVariant/46335086264615;BR06387T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR06387T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386541748519;BR06387T;gid://shopify/ProductVariant/46335086264615;gid://shopify/Product/8573492986151;Brinco Celebrate De Ouro Amarelo 18K E Diamante;1;gid://shopify/InventoryItem/48386541748519;gid://shopify/ProductVariant/46335086264615;BR06387T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR06387T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386548138279;BR06299T;gid://shopify/ProductVariant/46335092654375;gid://shopify/Product/8573493510439;Brinco Celebrate De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48386548138279;gid://shopify/ProductVariant/46335092654375;BR06299T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR06299T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386548138279;BR06299T;gid://shopify/ProductVariant/46335092654375;gid://shopify/Product/8573493510439;Brinco Celebrate De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48386548138279;gid://shopify/ProductVariant/46335092654375;BR06299T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR06299T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386551611687;BR06301T;gid://shopify/ProductVariant/46335096095015;gid://shopify/Product/8573493870887;Brinco Celebrate De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48386551611687;gid://shopify/ProductVariant/46335096095015;BR06301T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR06301T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386551611687;BR06301T;gid://shopify/ProductVariant/46335096095015;gid://shopify/Product/8573493870887;Brinco Celebrate De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48386551611687;gid://shopify/ProductVariant/46335096095015;BR06301T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR06301T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386556952871;BR06302T;gid://shopify/ProductVariant/46335101468967;gid://shopify/Product/8573494231335;Brinco Celebrate De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48386556952871;gid://shopify/ProductVariant/46335101468967;BR06302T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR06302T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386556952871;BR06302T;gid://shopify/ProductVariant/46335101468967;gid://shopify/Product/8573494231335;Brinco Celebrate De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48386556952871;gid://shopify/ProductVariant/46335101468967;BR06302T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR06302T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386559410471;BR06372T;gid://shopify/ProductVariant/46335104123175;gid://shopify/Product/8573494559015;Brinco Celebrate De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48386559410471;gid://shopify/ProductVariant/46335104123175;BR06372T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR06372T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386559410471;BR06372T;gid://shopify/ProductVariant/46335104123175;gid://shopify/Product/8573494559015;Brinco Celebrate De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48386559410471;gid://shopify/ProductVariant/46335104123175;BR06372T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR06372T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386562556199;BR06374T;gid://shopify/ProductVariant/46335107072295;gid://shopify/Product/8573494853927;Brinco Celebrate De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48386562556199;gid://shopify/ProductVariant/46335107072295;BR06374T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR06374T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386562556199;BR06374T;gid://shopify/ProductVariant/46335107072295;gid://shopify/Product/8573494853927;Brinco Celebrate De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48386562556199;gid://shopify/ProductVariant/46335107072295;BR06374T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR06374T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386565800231;BR06376T;gid://shopify/ProductVariant/46335110545703;gid://shopify/Product/8573495181607;Brinco Celebrate De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48386565800231;gid://shopify/ProductVariant/46335110545703;BR06376T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR06376T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386565800231;BR06376T;gid://shopify/ProductVariant/46335110545703;gid://shopify/Product/8573495181607;Brinco Celebrate De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48386565800231;gid://shopify/ProductVariant/46335110545703;BR06376T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR06376T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386571206951;BR06378T;gid://shopify/ProductVariant/46335115788583;gid://shopify/Product/8573495607591;Brinco Celebrate De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48386571206951;gid://shopify/ProductVariant/46335115788583;BR06378T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR06378T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386571206951;BR06378T;gid://shopify/ProductVariant/46335115788583;gid://shopify/Product/8573495607591;Brinco Celebrate De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48386571206951;gid://shopify/ProductVariant/46335115788583;BR06378T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR06378T
