id;sku;title;price;compareAtPrice;inventoryQuantity;product_id;title.1;totalInventory;totalVariants;mediaCount.count;sku_2;variant.sku;variant.id;encomenda ouro;encomenda prata;Encomendavel;Em estoque
gid://shopify/ProductVariant/46335245091111;BR05412T;P;1600.0;1600.0;0;gid://shopify/Product/8573507240231;Brinco Argola Chain - P | Prata Com Ródio Negro;0;1;4;BR05412T;BR05412T;gid://shopify/ProductVariant/46335245091111;0.0;0.0;False;False
gid://shopify/ProductVariant/46335247352103;CL04178;P;6200.0;6200.0;11;gid://shopify/Product/8573507469607;Colar Chain - P | Prata Com Ouro Amarelo 18K;11;1;3;CL04178;CL04178;gid://shopify/ProductVariant/46335247352103;0.0;5.0;True;True
gid://shopify/ProductVariant/46335251644711;CL04182;G;8500.0;8500.0;9;gid://shopify/Product/8573507830055;Colar Chain - G | Prata Com Ouro Amarelo 18K;9;1;5;CL04182;CL04182;gid://shopify/ProductVariant/46335251644711;0.0;5.0;True;True
gid://shopify/ProductVariant/46335255904551;CL04179;P;6200.0;6200.0;5;gid://shopify/Product/8573508124967;Colar Chain - P | Prata Com Ródio Negro;5;1;3;CL04179;CL04179;gid://shopify/ProductVariant/46335255904551;0.0;5.0;True;False
gid://shopify/ProductVariant/46335260197159;BR05606T;Default Title;980.0;980.0;5;gid://shopify/Product/8573508452647;Piercing Chain | Prata Com Ouro Amarelo 18K;5;1;4;BR05606T;BR05606T;gid://shopify/ProductVariant/46335260197159;0.0;5.0;True;False
gid://shopify/ProductVariant/46335263408423;PU01791T;P;3700.0;3700.0;6;gid://shopify/Product/8573508714791;Pulseira Chain Elo - P | Prata Com Ouro Amarelo 18k;18;3;5;PU01791T;PU01791T;gid://shopify/ProductVariant/46335263408423;0.0;5.0;True;True
gid://shopify/ProductVariant/46335274320167;PU01805T;G;4900.0;4900.0;9;gid://shopify/Product/8573509730599;Pulseira Chain De Prata Com Ouro Amarelo - Elo G;9;1;3;PU01805T;PU01805T;gid://shopify/ProductVariant/46335274320167;0.0;5.0;True;True
gid://shopify/ProductVariant/46335277662503;PU01792T;P;3700.0;3700.0;0;gid://shopify/Product/8573509992743;Pulseira Chain Elo - P | Prata Com Ródio Negro;3;3;3;PU01792T;PU01792T;gid://shopify/ProductVariant/46335277662503;0.0;0.0;False;False
gid://shopify/ProductVariant/46335289983271;PU01806T;G;4900.0;4900.0;1;gid://shopify/Product/8573510975783;Pulseira Chain De Prata Com Ródio Negro - Elo G;1;1;3;PU01806T;PU01806T;gid://shopify/ProductVariant/46335289983271;0.0;0.0;False;True
gid://shopify/ProductVariant/46336082936103;BR05581T;Default Title;3900.0;2900.0;5;gid://shopify/Product/8573576708391;Piercing Chain Lovers | Ouro Branco 18K Com Ródio Negro E Diamantes;5;1;2;BR05581T;BR05581T;gid://shopify/ProductVariant/46336082936103;5.0;0.0;True;False
gid://shopify/ProductVariant/46336085983527;BR05603T;Default Title;9500.0;5900.0;6;gid://shopify/Product/8573576937767;Brinco Argola Chain Lovers - Mini | Ouro Branco 18K Com Ródio Negro E Diamantes;6;1;3;BR05603T;BR05603T;gid://shopify/ProductVariant/46336085983527;5.0;0.0;True;True
gid://shopify/ProductVariant/46336089096487;BR05580T;Default Title;4900.0;3200.0;5;gid://shopify/Product/8573577265447;Piercing Chain Lovers | Ouro Branco 18K E Diamantes;5;1;2;BR05580T;BR05580T;gid://shopify/ProductVariant/46336089096487;5.0;0.0;True;False
gid://shopify/ProductVariant/46336093389095;BR05604T;Default Title;12900.0;;5;gid://shopify/Product/8573577593127;Brinco Argola Chain Lovers - Mini | Ouro Branco 18K e Diamantes;5;1;3;BR05604T;BR05604T;gid://shopify/ProductVariant/46336093389095;5.0;0.0;True;False
